District,Population,Healthcare_Facilities,Malaria_Cases,TB_Cases,HIV_Cases,Deaths,Year,Target_Cases,Priority_Level
Nyaruguru,168881,10,4557,213,286,13,1994,4530,High
Rulindo,245297,8,3325,248,640,27,1994,3189,Medium
Gasabo,202587,3,1440,175,281,79,1994,1970,Low
Kicukiro,171761,5,1542,54,590,90,1994,2339,Medium
Nyarugenge,211056,10,1366,159,520,16,1994,2081,Low
Ruhango,116801,13,2032,31,268,85,1994,2786,Medium
Gisagara2,192872,3,661,322,295,82,1994,697,Low
Kigali,130036,3,1685,35,254,31,1995,2602,Medium
Huye,144630,14,2390,170,150,38,1995,2000,Medium
Musanze,135880,12,3605,249,137,19,1995,4497,High
Rubavu,272916,8,1610,269,175,39,1995,1722,Medium
Rusizi,210428,15,2519,174,225,71,1995,3485,Medium
Nyagatare,128818,14,4031,294,140,63,1995,4931,High
Rwamagana,123188,11,1587,92,196,90,1995,1710,Medium
Gicumbi,180382,3,4029,249,576,35,1995,4287,High
Nyanza,90741,13,432,44,445,69,1995,479,Low
Karongi,139046,13,3571,138,578,42,1995,3538,High
Bugesera,337223,12,3210,138,101,58,1995,3355,Medium
Nyamasheke,310747,14,1202,181,724,62,1995,1548,Low
Gisagara,109847,14,4157,77,486,74,1995,3829,High
Muhanga,278208,5,3896,12,73,8,1995,4119,High
Ngoma,286174,14,745,106,329,38,1995,803,Low
Kayonza,161230,9,2961,217,643,32,1995,2599,Medium
Kirehe,170682,6,3647,334,473,53,1995,3405,High
Rutsiro,221553,11,5039,140,569,92,1995,4799,High
Burera,82659,5,2942,224,377,30,1995,2454,Medium
Ngororero,251548,7,852,63,97,61,1995,1694,Low
Kamonyi,96561,5,5433,210,569,82,1995,5843,High
Nyabihu,212616,9,3424,279,622,104,1995,3241,Medium
Gakenke,247162,7,2474,129,651,71,1995,3134,Medium
Nyaruguru,172259,11,4795,210,274,0,1995,5614,High
Rulindo,250203,9,4641,183,622,33,1995,5013,High
Gasabo,206638,4,2027,175,154,63,1995,2251,Medium
Kicukiro,175196,6,1704,36,566,89,1995,2637,Medium
Nyarugenge,215277,11,410,125,494,14,1995,975,Low
Ruhango,119137,14,466,21,269,76,1995,1284,Low
Gisagara2,196730,4,1191,246,201,89,1995,1112,Low
Kigali,132637,2,3429,45,292,42,1996,3921,Medium
Huye,147522,13,2988,169,233,48,1996,3308,Medium
Musanze,138597,11,3751,266,65,30,1996,3448,High
Rubavu,278375,7,2532,253,268,49,1996,2585,Medium
Rusizi,214637,14,2449,137,310,70,1996,2426,Medium
Nyagatare,131395,13,3310,262,195,63,1996,4274,Medium
Rwamagana,125651,10,1395,66,229,85,1996,2172,Low
Gicumbi,183989,2,3709,241,567,36,1996,3725,High
Nyanza,92556,12,1192,87,502,70,1996,1874,Low
Karongi,141827,12,3466,143,681,60,1996,2980,Medium
Bugesera,343967,11,2635,71,102,58,1996,2458,Medium
Nyamasheke,316962,13,1928,132,675,79,1996,2182,Medium
Gisagara,112044,13,5398,105,486,66,1996,6204,High
Muhanga,283773,4,2641,27,14,14,1996,3012,Medium
Ngoma,291898,13,1070,92,416,41,1996,915,Low
Kayonza,164455,8,3262,139,642,34,1996,3719,Medium
Kirehe,174095,5,3346,323,507,50,1996,3673,Medium
Rutsiro,225984,10,4025,210,491,98,1996,4872,High
Burera,84312,4,2156,251,277,38,1996,2664,Medium
Ngororero,256579,6,264,92,135,69,1996,777,Low
Kamonyi,98493,4,3847,166,592,82,1996,4125,High
Nyabihu,216869,8,2911,242,505,92,1996,3839,Medium
Gakenke,252106,6,1864,115,755,61,1996,1930,Medium
Nyaruguru,175704,10,3212,174,382,14,1996,3680,Medium
Rulindo,255207,8,4630,170,742,34,1996,4704,High
Gasabo,210771,3,1018,186,184,71,1996,903,Low
Kicukiro,178700,5,2442,113,645,92,1996,2581,Medium
Nyarugenge,219583,10,775,180,513,20,1996,1480,Low
Ruhango,121520,13,1041,28,428,88,1996,1250,Low
Gisagara2,200664,3,2100,320,330,87,1996,1884,Medium
Kigali,135290,2,1603,44,383,45,1997,2595,Medium
Huye,150473,13,3396,223,120,54,1997,4280,Medium
Musanze,141369,11,2800,235,144,19,1997,2860,Medium
Rubavu,283942,7,1189,187,274,49,1997,1640,Low
Rusizi,218930,14,1700,184,231,86,1997,1628,Medium
Nyagatare,134023,13,3556,265,175,65,1997,4098,High
Rwamagana,128164,10,292,40,124,103,1997,990,Low
Gicumbi,187669,2,4523,221,614,44,1997,5268,High
Nyanza,94407,12,1235,64,468,68,1997,2022,Low
Karongi,144664,12,3576,98,675,43,1997,3875,High
Bugesera,350847,11,2232,137,207,45,1997,3135,Medium
Nyamasheke,323301,13,1171,142,577,78,1997,2085,Low
Gisagara,114285,13,4815,77,525,58,1997,4757,High
Muhanga,289448,4,4363,79,57,19,1997,5115,High
Ngoma,297736,13,1099,137,313,41,1997,1886,Low
Kayonza,167744,8,4402,162,597,40,1997,5213,High
Kirehe,177577,5,3256,280,540,46,1997,2920,Medium
Rutsiro,230504,10,3524,219,533,98,1997,3030,High
Burera,85998,4,1329,221,366,47,1997,2233,Low
Ngororero,261711,6,575,97,42,78,1997,588,Low
Kamonyi,100462,4,5717,184,749,93,1997,5962,High
Nyabihu,221206,8,2503,243,654,99,1997,2263,Medium
Gakenke,257148,6,1299,117,710,62,1997,1875,Low
Nyaruguru,179218,10,3781,233,325,11,1997,4584,High
Rulindo,260311,8,3890,235,720,39,1997,3517,High
Gasabo,214987,3,1510,242,208,79,1997,2242,Medium
Kicukiro,182274,5,1041,40,523,77,1997,777,Low
Nyarugenge,223975,10,1141,194,427,12,1997,1134,Low
Ruhango,123951,13,381,29,415,81,1997,490,Low
Gisagara2,204678,3,2326,269,244,76,1997,2995,Medium
Kigali,137996,2,1668,107,271,31,1998,1208,Medium
Huye,153482,13,3257,186,56,39,1998,3933,Medium
Musanze,144197,11,3109,291,113,21,1998,2950,Medium
Rubavu,289621,7,889,243,164,36,1998,1119,Low
Rusizi,223308,14,1145,220,211,82,1998,1465,Low
Nyagatare,136703,13,2510,245,204,74,1998,2931,Medium
Rwamagana,130728,10,1255,131,236,98,1998,884,Low
Gicumbi,191423,2,4533,209,608,27,1998,4851,High
Nyanza,96295,12,226,49,520,75,1998,1045,Low
Karongi,147557,12,2662,79,685,47,1998,2905,Medium
Bugesera,357864,11,2705,117,195,58,1998,2868,Medium
Nyamasheke,329767,13,1842,109,614,61,1998,2092,Medium
Gisagara,116571,13,4614,152,541,68,1998,4595,High
Muhanga,295237,4,2773,33,197,13,1998,2985,Medium
Ngoma,303691,13,816,103,345,37,1998,357,Low
Kayonza,171099,8,2985,166,536,29,1998,3737,Medium
Kirehe,181129,5,2220,278,575,48,1998,2585,Medium
Rutsiro,235114,10,3866,153,492,94,1998,4182,High
Burera,87718,4,1956,231,279,45,1998,1467,Medium
Ngororero,266945,6,1002,141,96,68,1998,1162,Low
Kamonyi,102472,4,4901,224,670,89,1998,5110,High
Nyabihu,225630,8,2704,266,548,99,1998,2692,Medium
Gakenke,262291,6,2395,105,620,70,1998,2934,Medium
Nyaruguru,182802,10,3552,151,390,6,1998,3386,High
Rulindo,265517,8,3926,168,699,44,1998,4113,High
Gasabo,219286,3,2638,220,176,80,1998,3072,Medium
Kicukiro,185920,5,1510,49,670,85,1998,1624,Medium
Nyarugenge,228454,10,1133,135,564,4,1998,1252,Low
Ruhango,126430,13,565,48,327,71,1998,869,Low
Gisagara2,208771,3,1770,272,352,82,1998,1308,Medium
Kigali,140755,2,3091,26,322,40,1999,3312,Medium
Huye,156552,13,3508,168,209,46,1999,3901,High
Musanze,147081,11,3585,270,196,13,1999,3498,High
Rubavu,295413,7,1113,199,274,48,1999,2052,Low
Rusizi,227774,14,2609,221,322,76,1999,2922,Medium
Nyagatare,139437,13,2084,297,93,69,1999,2280,Medium
Rwamagana,133342,10,546,95,167,94,1999,971,Low
Gicumbi,195251,2,4434,239,634,27,1999,3936,High
Nyanza,98221,12,986,27,525,82,1999,809,Low
Karongi,150508,12,2797,105,609,56,1999,3001,Medium
Bugesera,365021,11,2403,142,170,58,1999,2719,Medium
Nyamasheke,336362,13,2997,175,741,72,1999,2683,Medium
Gisagara,118902,13,5271,130,631,61,1999,5577,High
Muhanga,301142,4,4036,70,49,15,1999,4621,High
Ngoma,309764,13,2389,184,369,33,1999,2452,Medium
Kayonza,174521,8,3732,186,573,46,1999,4565,High
Kirehe,184751,5,2997,308,503,44,1999,3321,Medium
Rutsiro,239816,10,3560,175,394,88,1999,3113,High
Burera,89473,4,2070,301,382,37,1999,2692,Medium
Ngororero,272284,6,704,122,136,70,1999,622,Low
Kamonyi,104521,4,4486,219,614,90,1999,4201,High
Nyabihu,230143,8,1483,273,472,102,1999,2095,Low
Gakenke,267537,6,823,147,715,65,1999,1613,Low
Nyaruguru,186458,10,4482,190,306,8,1999,5200,High
Rulindo,270828,8,4218,259,638,35,1999,4238,High
Gasabo,223672,3,2261,201,119,65,1999,3179,Medium
Kicukiro,189638,5,1470,129,607,90,1999,1007,Low
Nyarugenge,233023,10,164,126,581,19,1999,117,Low
Ruhango,128958,13,414,63,405,81,1999,709,Low
Gisagara2,212947,3,2564,309,250,88,1999,3127,Medium
Kigali,143571,3,2865,118,291,46,2000,3062,Medium
Huye,159683,14,3670,208,79,36,2000,3209,High
Musanze,150022,12,3994,292,59,17,2000,3709,High
Rubavu,301322,8,2033,266,301,31,2000,2103,Medium
Rusizi,232330,15,2572,170,368,82,2000,2434,Medium
Nyagatare,142226,14,2612,324,212,67,2000,2467,Medium
Rwamagana,136009,11,465,66,212,91,2000,97,Low
Gicumbi,199156,3,5284,200,559,45,2000,5838,High
Nyanza,100186,13,68,55,543,75,2000,1028,Low
Karongi,153518,13,4345,82,731,58,2000,4200,High
Bugesera,372321,12,2736,141,174,55,2000,2530,Medium
Nyamasheke,343089,14,3070,183,558,74,2000,3706,Medium
Gisagara,121281,14,4699,86,564,57,2000,4898,High
Muhanga,307165,5,3020,95,112,7,2000,3527,Medium
Ngoma,315960,14,1870,169,374,33,2000,1955,Medium
Kayonza,178012,9,4217,223,564,41,2000,4962,High
Kirehe,188446,6,2149,327,418,46,2000,2564,Medium
Rutsiro,244613,11,5230,234,459,99,2000,5253,High
Burera,91262,5,1917,231,343,29,2000,1438,Medium
Ngororero,277730,7,134,143,63,74,2000,337,Low
Kamonyi,106612,5,4483,166,716,76,2000,4930,High
Nyabihu,234746,9,1861,317,466,98,2000,2417,Medium
Gakenke,272887,7,2164,158,733,79,2000,2122,Medium
Nyaruguru,190188,11,3411,221,265,1,2000,4364,Medium
Rulindo,276244,9,4035,190,566,42,2000,4657,High
Gasabo,228145,4,1171,200,109,71,2000,1554,Low
Kicukiro,193431,6,2339,33,658,89,2000,2946,Medium
Nyarugenge,237684,11,882,196,432,4,2000,1230,Low
Ruhango,131537,14,1783,59,321,83,2000,2151,Medium
Gisagara2,217205,4,2554,316,175,89,2000,3530,Medium
Kigali,146442,2,2951,23,287,33,2001,3636,Medium
Huye,162876,13,4304,187,103,51,2001,4596,High
Musanze,153023,11,2903,227,44,26,2001,2894,Medium
Rubavu,307348,7,1070,213,205,44,2001,1554,Low
Rusizi,236976,14,2658,215,252,77,2001,2748,Medium
Nyagatare,145070,13,3106,281,81,77,2001,2804,Medium
Rwamagana,138729,10,661,132,238,96,2001,853,Low
Gicumbi,203139,2,5073,215,623,29,2001,5488,High
Nyanza,102190,12,1115,28,558,78,2001,1069,Low
Karongi,156589,12,3948,127,581,46,2001,4464,High
Bugesera,379768,11,2410,126,214,45,2001,3277,Medium
Nyamasheke,349951,13,1668,98,609,73,2001,1888,Medium
Gisagara,123706,13,3514,90,478,73,2001,4403,High
Muhanga,313308,4,4091,102,169,15,2001,4915,High
Ngoma,322279,13,1249,119,318,35,2001,2164,Low
Kayonza,181572,8,3739,213,680,35,2001,3639,High
Kirehe,192215,5,2700,280,556,57,2001,2791,Medium
Rutsiro,249505,10,4676,220,483,102,2001,4848,High
Burera,93087,4,1713,254,365,46,2001,1214,Medium
Ngororero,283284,6,-115,94,171,61,2001,-27,Low
Kamonyi,108744,4,3912,163,702,80,2001,3605,High
Nyabihu,239441,8,2670,331,633,105,2001,2312,Medium
Gakenke,278345,6,1488,123,622,68,2001,1304,Low
Nyaruguru,193991,10,4828,140,248,5,2001,5424,High
Rulindo,281769,8,4680,256,722,34,2001,5573,High
Gasabo,232708,3,1490,169,166,78,2001,2331,Low
Kicukiro,197300,5,1623,93,594,82,2001,1581,Medium
Nyarugenge,242437,10,944,201,537,7,2001,1781,Low
Ruhango,134168,13,399,29,356,71,2001,1049,Low
Gisagara2,221550,3,1384,292,275,84,2001,1854,Low
Kigali,149371,2,2518,34,316,39,2002,2926,Medium
Huye,166134,13,3884,197,161,53,2002,4133,High
Musanze,156083,11,3491,260,162,30,2002,3904,Medium
Rubavu,313495,7,2609,208,170,39,2002,3191,Medium
Rusizi,241716,14,2644,150,234,84,2002,2496,Medium
Nyagatare,147972,13,2958,311,80,77,2002,3262,Medium
Rwamagana,141504,10,790,131,154,104,2002,1245,Low
Gicumbi,207202,2,3665,205,678,45,2002,3772,High
Nyanza,104233,12,1174,49,522,66,2002,1251,Low
Karongi,159720,12,2986,77,736,46,2002,2780,Medium
Bugesera,387363,11,3416,121,222,55,2002,4176,Medium
Nyamasheke,356950,13,1614,127,566,75,2002,1980,Medium
Gisagara,126180,13,4236,77,560,71,2002,4213,High
Muhanga,319574,4,4195,49,175,18,2002,4028,High
Ngoma,328724,13,522,123,285,32,2002,1026,Low
Kayonza,185203,8,3513,189,561,41,2002,3026,High
Kirehe,196060,5,2616,323,480,44,2002,2953,Medium
Rutsiro,254495,10,4511,223,419,84,2002,5197,High
Burera,94949,4,2252,219,398,36,2002,2211,Medium
Ngororero,288950,6,1636,97,58,75,2002,1422,Medium
Kamonyi,110919,4,5215,147,747,87,2002,5306,High
Nyabihu,244230,8,3474,334,469,99,2002,3835,Medium
Gakenke,283912,6,1879,80,706,80,2002,2350,Medium
Nyaruguru,197871,10,3354,191,303,19,2002,4161,Medium
Rulindo,287405,8,4442,198,737,30,2002,5169,High
Gasabo,237363,3,939,210,214,72,2002,594,Low
Kicukiro,201246,5,1906,110,617,87,2002,2680,Medium
Nyarugenge,247286,10,793,141,519,15,2002,1261,Low
Ruhango,136852,13,888,40,249,69,2002,506,Low
Gisagara2,225981,3,1634,302,228,75,2002,2318,Medium
Kigali,152358,2,2549,73,241,37,2003,2324,Medium
Huye,169457,13,3016,240,82,36,2003,2732,Medium
Musanze,159205,11,3441,244,211,18,2003,4187,Medium
Rubavu,319765,7,2070,229,311,42,2003,2887,Medium
Rusizi,246550,14,2853,145,327,82,2003,2660,Medium
Nyagatare,150931,13,3415,285,155,65,2003,4279,Medium
Rwamagana,144334,10,403,47,203,90,2003,419,Low
Gicumbi,211346,2,5032,241,676,28,2003,5748,High
Nyanza,106318,12,-156,103,576,74,2003,781,Low
Karongi,162915,12,2765,125,717,48,2003,2567,Medium
Bugesera,395110,11,2198,139,169,57,2003,2498,Medium
Nyamasheke,364089,13,2109,106,576,76,2003,2685,Medium
Gisagara,128704,13,4770,138,565,57,2003,5279,High
Muhanga,325966,4,3276,77,66,13,2003,3960,Medium
Ngoma,335299,13,2225,175,392,39,2003,2309,Medium
Kayonza,188907,8,4741,204,660,35,2003,5211,High
Kirehe,199981,5,3460,332,521,48,2003,3453,Medium
Rutsiro,259585,10,5010,153,589,84,2003,4906,High
Burera,96848,4,2000,237,288,41,2003,2854,Medium
Ngororero,294729,6,1325,149,67,67,2003,1549,Low
Kamonyi,113137,4,5475,202,628,80,2003,5117,High
Nyabihu,249114,8,2397,260,519,88,2003,2201,Medium
Gakenke,289590,6,1230,114,745,66,2003,2020,Low
Nyaruguru,201829,10,3708,206,349,13,2003,4049,High
Rulindo,293153,8,4259,207,571,28,2003,3843,High
Gasabo,242110,3,2592,233,142,62,2003,2545,Medium
Kicukiro,205270,5,2463,124,637,87,2003,3119,Medium
Nyarugenge,252232,10,140,158,449,5,2003,422,Low
Ruhango,139589,13,420,51,316,74,2003,417,Low
Gisagara2,230500,3,939,275,190,81,2003,1453,Low
Kigali,155405,2,1876,69,346,42,2004,2168,Medium
Huye,172846,13,4151,227,90,49,2004,3974,High
Musanze,162389,11,2900,228,45,13,2004,3757,Medium
Rubavu,326160,7,2779,254,250,50,2004,2772,Medium
Rusizi,251481,14,2540,151,355,72,2004,3207,Medium
Nyagatare,153950,13,2161,271,189,75,2004,1662,Medium
Rwamagana,147221,10,2243,116,178,95,2004,3029,Medium
Gicumbi,215573,2,4888,229,540,39,2004,4546,High
Nyanza,108444,12,1140,76,461,81,2004,1084,Low
Karongi,166173,12,2949,99,608,60,2004,3924,Medium
Bugesera,403013,11,3364,70,151,44,2004,4059,Medium
Nyamasheke,371371,13,2484,132,651,75,2004,2874,Medium
Gisagara,131278,13,3583,91,578,64,2004,4132,High
Muhanga,332485,4,3093,22,13,14,2004,3176,Medium
Ngoma,342005,13,672,166,265,31,2004,221,Low
Kayonza,192685,8,3624,146,601,33,2004,4349,High
Kirehe,203980,5,2969,252,543,46,2004,3461,Medium
Rutsiro,264777,10,4805,203,566,99,2004,4787,High
Burera,98785,4,2131,312,366,45,2004,2292,Medium
Ngororero,300623,6,1116,98,156,63,2004,1603,Low
Kamonyi,115400,4,5275,169,563,83,2004,5743,High
Nyabihu,254096,8,2070,318,644,89,2004,2913,Medium
Gakenke,295382,6,2321,86,658,78,2004,3218,Medium
Nyaruguru,205865,10,3478,173,408,16,2004,3436,Medium
Rulindo,299016,8,4296,185,750,39,2004,5037,High
Gasabo,246952,3,1900,203,126,67,2004,2020,Medium
Kicukiro,209376,5,1521,67,580,79,2004,1093,Medium
Nyarugenge,257277,10,484,218,528,7,2004,408,Low
Ruhango,142380,13,1376,71,242,85,2004,1703,Low
Gisagara2,235110,3,2241,292,174,82,2004,1900,Medium
Kigali,158514,3,1689,30,429,45,2005,1255,Medium
Huye,176303,14,3337,196,164,37,2005,3178,Medium
Musanze,165637,12,3973,217,198,13,2005,4086,High
Rubavu,332684,8,2095,221,231,50,2005,2882,Medium
Rusizi,256511,15,1639,166,385,73,2005,1591,Medium
Nyagatare,157029,14,3924,328,62,72,2005,4440,High
Rwamagana,150165,11,585,119,152,100,2005,1120,Low
Gicumbi,219884,3,4170,171,641,34,2005,4649,High
Nyanza,110613,13,48,29,435,77,2005,850,Low
Karongi,169497,13,2999,48,676,52,2005,2819,Medium
Bugesera,411073,12,3111,93,246,63,2005,3016,Medium
Nyamasheke,378798,14,2062,159,577,61,2005,2574,Medium
Gisagara,133904,14,4226,145,498,75,2005,4463,High
Muhanga,339135,5,3081,21,39,5,2005,2694,Medium
Ngoma,348845,14,1269,152,321,28,2005,1529,Low
Kayonza,196539,9,3929,192,576,29,2005,4632,High
Kirehe,208060,6,3838,257,550,46,2005,4827,High
Rutsiro,270072,11,3653,140,554,93,2005,3295,High
Burera,100761,5,1341,274,306,48,2005,1330,Low
Ngororero,306636,7,-328,110,55,66,2005,-235,Low
Kamonyi,117708,5,5249,172,710,83,2005,6234,High
Nyabihu,259178,9,1614,308,539,94,2005,2061,Medium
Gakenke,301290,7,2044,152,716,63,2005,2121,Medium
Nyaruguru,209983,11,3700,136,402,17,2005,4429,High
